features,cancer_coef_female,cancer_coef_male,mace_coef_female,mace_coef_male,death_coef_female,death_coef_male
intercept,-7.645251962,-7.41123316,-4.88274969,-4.89558374,-5.77119954,-4.18067058
AGE,2.345856943,2.9134473,3.09982665,3.2061615,5.14018032,4.74616923
DRK_COMBINED1,0.067940533,0.2410295,-0.07798369,-0.1585789,-0.0843912,-0.24813979
DRK_COMBINED2,-0.180168485,0.15754797,0.07483272,-0.04786338,-0.01702838,0.02164973
G1E_BMI,-0.39142552,-0.73641878,0.10402446,0.07759772,-0.98878215,-1.73629779
G1E_BP_DIA,-0.448865245,0.38996129,0.07816651,-0.1041937,0.13188329,-0.04360386
G1E_BP_SYS,1.064332808,0.49351337,0.41782247,0.63962325,-0.03923899,0.49478486
G1E_FBS,-0.174418877,-0.1635641,0.059542,-0.07546847,0.23424769,0.19191805
G1E_GGT,0.232457147,0.38332475,0.51469387,0.28350743,0.93777765,0.20692822
G1E_HDL,0.05274825,-0.12560313,-0.36666011,-0.55857946,-0.25620595,-0.3734222
G1E_HGB,0.369666851,0.16169052,-0.1385895,0.01204375,-0.90604603,-1.4065172
G1E_LDL,0.326664808,-0.51438566,-0.21621804,-0.02621911,-0.62203608,-0.72591183
G1E_SGOT,-0.933602611,-0.07368309,-0.1036953,-0.08877677,-0.13204482,0.10061633
G1E_SGPT,0.537371902,-0.22214784,-0.22667477,-0.01948362,-0.189015,-0.02563623
G1E_TG,0.660212168,0.28610399,0.17883071,0.12993955,0.01693363,-0.0766582
G1E_TOT_CHOL,0.006050811,0.25284389,0.21877401,0.38592906,0.07463441,0.08026386
G1E_WSTC,0.322001455,0.72583558,0.76916187,0.66787655,0.87784315,0.96749803
METs,-0.618877654,-0.61044778,-0.52400193,-0.13364648,-0.37395619,-0.70758277
Q_FHX_DM1,-0.011899264,-0.05003608,0.06257535,0.13370653,0.0279109,0.03772272
Q_FHX_HTDZ1,-0.344355175,-0.02471897,0.23502534,0.26980951,0.03738673,-0.1186488
Q_FHX_HTN1,0.054906093,-0.02411097,0.07008188,0.14194539,-0.09467692,-0.16907028
Q_FHX_STK1,-0.047456129,-0.08069994,0.16729219,0.13818115,-0.11315485,-0.0138518
SMK_COMBINED1,0.32028098,0.11590014,0.28753925,0.04834131,0.51613868,0.12368087
SMK_COMBINED2,0.615736368,0.0892222,0.35774393,0.36485018,0.82255765,0.64999192
METS^2,0.246187903,0.67766206,0.5632432,-0.07946223,0.1075253,0.43765065
EGFR,0.106982495,0.2291548,-0.29297541,-0.12811229,-0.40069692,-0.03113758
